WriteTemp,ReadTemp,DateTime
153.0,25.0,2026-04-09 18:22:49.909583
153.7,25.0,2026-04-09 18:22:51.910750
154.3,25.0,2026-04-09 18:22:53.911738
155.0,25.0,2026-04-09 18:22:55.903110
155.7,25.0,2026-04-09 18:22:57.903624
156.3,25.0,2026-04-09 18:22:59.903862
157.0,25.0,2026-04-09 18:23:01.904514
157.7,25.0,2026-04-09 18:23:03.905628
158.3,25.0,2026-04-09 18:23:05.905967
159.0,25.0,2026-04-09 18:23:07.906464
159.7,25.0,2026-04-09 18:23:09.906953
160.3,25.0,2026-04-09 18:23:11.907880
161.0,25.0,2026-04-09 18:23:13.908742
161.7,25.0,2026-04-09 18:23:15.909360
162.3,25.0,2026-04-09 18:23:17.909608
163.0,25.0,2026-04-09 18:23:19.909885
163.7,25.0,2026-04-09 18:23:21.910755
164.3,25.0,2026-04-09 18:23:23.911671
165.0,25.0,2026-04-09 18:23:25.906574
165.7,25.0,2026-04-09 18:23:27.906937
166.3,25.0,2026-04-09 18:23:29.907244
167.0,25.0,2026-04-09 18:23:31.907962
167.7,25.0,2026-04-09 18:23:33.909049
168.3,25.0,2026-04-09 18:23:35.909777
169.0,25.0,2026-04-09 18:23:37.910377
169.7,25.0,2026-04-09 18:23:39.911104
170.3,25.0,2026-04-09 18:23:41.912344
171.0,25.0,2026-04-09 18:23:43.913360
171.7,25.0,2026-04-09 18:23:45.914509
172.3,25.0,2026-04-09 18:23:47.915195
173.0,25.0,2026-04-09 18:23:49.915474
173.7,25.0,2026-04-09 18:23:51.916154
174.3,25.0,2026-04-09 18:23:53.917089
175.0,25.0,2026-04-09 18:23:55.908606
175.7,25.0,2026-04-09 18:23:57.909306
176.3,25.0,2026-04-09 18:23:59.910068
177.0,25.0,2026-04-09 18:24:01.910925
177.7,25.0,2026-04-09 18:24:03.911706
178.3,25.0,2026-04-09 18:24:05.912270
179.0,25.0,2026-04-09 18:24:07.912856
179.7,25.0,2026-04-09 18:24:09.913676
180.3,25.0,2026-04-09 18:24:11.914286
181.0,25.0,2026-04-09 18:24:13.915691
181.7,25.0,2026-04-09 18:24:15.916763
182.3,25.0,2026-04-09 18:24:17.917256
183.0,25.0,2026-04-09 18:24:19.917724
183.7,25.0,2026-04-09 18:24:21.918561
184.3,25.0,2026-04-09 18:24:23.919342
185.0,25.0,2026-04-09 18:24:25.903806
185.7,25.0,2026-04-09 18:24:27.904566
186.3,25.0,2026-04-09 18:24:29.905032
187.0,25.0,2026-04-09 18:24:31.905629
187.7,25.0,2026-04-09 18:24:33.906719
188.3,25.0,2026-04-09 18:24:35.907042
189.0,25.0,2026-04-09 18:24:37.907845
189.7,25.0,2026-04-09 18:24:39.908474
190.3,25.0,2026-04-09 18:24:41.909632
191.0,25.0,2026-04-09 18:24:43.910240
191.7,25.0,2026-04-09 18:24:45.911154
192.3,25.0,2026-04-09 18:24:47.911674
193.0,25.0,2026-04-09 18:24:49.912105
193.7,25.0,2026-04-09 18:24:51.913077
194.3,25.0,2026-04-09 18:24:53.913740
195.0,25.0,2026-04-09 18:24:55.912225
195.7,25.0,2026-04-09 18:24:57.912698
196.3,25.0,2026-04-09 18:24:59.913141
197.0,25.0,2026-04-09 18:25:01.913656
197.7,25.0,2026-04-09 18:25:03.914197
198.3,25.0,2026-04-09 18:25:05.914896
199.0,25.0,2026-04-09 18:25:07.915549
199.7,25.0,2026-04-09 18:25:09.915938
200.3,25.0,2026-04-09 18:25:11.916590
201.0,25.0,2026-04-09 18:25:13.917075
201.7,25.0,2026-04-09 18:25:15.917283
202.3,25.0,2026-04-09 18:25:17.917846
203.0,25.0,2026-04-09 18:25:19.918110
203.7,25.0,2026-04-09 18:25:21.918312
204.3,25.0,2026-04-09 18:25:23.918647
205.0,25.0,2026-04-09 18:25:25.910531
205.7,25.0,2026-04-09 18:25:27.911175
206.3,25.0,2026-04-09 18:25:29.911469
207.0,25.0,2026-04-09 18:25:31.912166
207.7,25.0,2026-04-09 18:25:33.912896
208.3,25.0,2026-04-09 18:25:35.913197
209.0,25.0,2026-04-09 18:25:37.913624
209.7,25.0,2026-04-09 18:25:39.913912
210.3,25.0,2026-04-09 18:25:41.914471
211.0,25.0,2026-04-09 18:25:43.915008
211.7,25.0,2026-04-09 18:25:45.915216
212.3,25.0,2026-04-09 18:25:47.915626
213.0,25.0,2026-04-09 18:25:49.915960
213.7,25.0,2026-04-09 18:25:51.916594
214.3,25.0,2026-04-09 18:25:53.917348
215.0,25.0,2026-04-09 18:25:55.909849
215.7,25.0,2026-04-09 18:25:57.910585
216.3,25.0,2026-04-09 18:25:59.911171
217.0,25.0,2026-04-09 18:26:01.912155
217.7,25.0,2026-04-09 18:26:03.912786
218.3,25.0,2026-04-09 18:26:05.913433
219.0,25.0,2026-04-09 18:26:07.914100
219.7,25.0,2026-04-09 18:26:09.914871
220.3,25.0,2026-04-09 18:26:11.915467
221.0,25.0,2026-04-09 18:26:13.916207
221.7,25.0,2026-04-09 18:26:15.917098
222.3,25.0,2026-04-09 18:26:17.917744
223.0,25.0,2026-04-09 18:26:19.918425
